item_id,item_name,quantity,source,last_updated,price
11,Product B1,200,Supplier 2,2024-08-28 05:55:54.147484,29.99
12,Product B2,201,Supplier 2,2024-08-28 05:55:54.147484,30.99
13,Product B3,202,Supplier 2,2024-08-28 05:55:54.147484,31.99
14,Product B4,203,Supplier 2,2024-08-28 05:55:54.147484,32.989999999999995
15,Product B5,204,Supplier 2,2024-08-28 05:55:54.147484,33.989999999999995
16,Product B6,205,Supplier 2,2024-08-28 05:55:54.147484,34.989999999999995
17,Product B7,206,Supplier 2,2024-08-28 05:55:54.147484,35.989999999999995
18,Product B8,207,Supplier 2,2024-08-28 05:55:54.147484,36.989999999999995
19,Product B9,208,Supplier 2,2024-08-28 05:55:54.147484,37.989999999999995
20,Product B10,209,Supplier 2,2024-08-28 05:55:54.147484,38.989999999999995
